Category,Region,Year,Unit,Value
Softwood,Regiunea NORD-EST,2013, Thousands hectares,559.4
Softwood,Regiunea NORD-EST,2014, Thousands hectares,558.0
Softwood,Regiunea NORD-EST,2015, Thousands hectares,556.8
Softwood,Regiunea NORD-EST,2016, Thousands hectares,556.0
Softwood,Regiunea NORD-EST,2017, Thousands hectares,555.8
Softwood,Regiunea NORD-EST,2018, Thousands hectares,555.8
Softwood,Regiunea NORD-EST,2019, Thousands hectares,555.5
Softwood,Bacau,1990, Thousands hectares,96.1
Softwood,Bacau,1991, Thousands hectares,96.0
Softwood,Bacau,1992, Thousands hectares,104.3
Softwood,Bacau,1993, Thousands hectares,96.3
Softwood,Bacau,1994, Thousands hectares,96.5
Softwood,Bacau,1995, Thousands hectares,95.3
Softwood,Bacau,1996, Thousands hectares,93.4
Softwood,Bacau,1997, Thousands hectares,93.9
Softwood,Bacau,1998, Thousands hectares,92.5
Softwood,Bacau,1999, Thousands hectares,91.0
Softwood,Bacau,2000, Thousands hectares,89.5
Softwood,Bacau,2001, Thousands hectares,89.4
Softwood,Bacau,2002, Thousands hectares,89.5
Softwood,Bacau,2003, Thousands hectares,87.4
Softwood,Bacau,2004, Thousands hectares,90.9
Softwood,Bacau,2005, Thousands hectares,90.7
Softwood,Bacau,2006, Thousands hectares,89.0
Softwood,Bacau,2007, Thousands hectares,89.9
Softwood,Bacau,2008, Thousands hectares,99.0
Softwood,Bacau,2009, Thousands hectares,90.4
Softwood,Bacau,2010, Thousands hectares,90.3
Softwood,Bacau,2011, Thousands hectares,90.0
Softwood,Bacau,2012, Thousands hectares,90.3
Softwood,Bacau,2013, Thousands hectares,90.6
Softwood,Bacau,2014, Thousands hectares,89.9
Softwood,Bacau,2015, Thousands hectares,89.2
Softwood,Bacau,2016, Thousands hectares,88.1
Softwood,Bacau,2017, Thousands hectares,87.6
Softwood,Bacau,2018, Thousands hectares,87.8
Softwood,Bacau,2019, Thousands hectares,88.1
Softwood,Botosani,1990, Thousands hectares,1.2
Softwood,Botosani,1991, Thousands hectares,1.2
Softwood,Botosani,1992, Thousands hectares,1.2
Softwood,Botosani,1993, Thousands hectares,1.2
Softwood,Botosani,1994, Thousands hectares,1.2
Softwood,Botosani,1995, Thousands hectares,1.1
Softwood,Botosani,1996, Thousands hectares,1.0
Softwood,Botosani,1997, Thousands hectares,1.0
Softwood,Botosani,1998, Thousands hectares,1.0
Softwood,Botosani,1999, Thousands hectares,1.0
Softwood,Botosani,2000, Thousands hectares,1.0
Softwood,Botosani,2001, Thousands hectares,1.0
Softwood,Botosani,2002, Thousands hectares,1.0
Softwood,Botosani,2003, Thousands hectares,1.0
Softwood,Botosani,2004, Thousands hectares,1.0
Softwood,Botosani,2005, Thousands hectares,1.0
Softwood,Botosani,2006, Thousands hectares,1.0
Softwood,Botosani,2007, Thousands hectares,1.0
Softwood,Botosani,2008, Thousands hectares,1.0
Softwood,Botosani,2009, Thousands hectares,0.9
Softwood,Botosani,2010, Thousands hectares,1.0
Softwood,Botosani,2011, Thousands hectares,1.0
Softwood,Botosani,2012, Thousands hectares,0.9
Softwood,Botosani,2013, Thousands hectares,0.8
Softwood,Botosani,2014, Thousands hectares,0.7
Softwood,Botosani,2015, Thousands hectares,0.5
Softwood,Botosani,2016, Thousands hectares,0.4
Softwood,Botosani,2017, Thousands hectares,0.4
Softwood,Botosani,2018, Thousands hectares,0.4
Softwood,Botosani,2019, Thousands hectares,0.4
Softwood,Iasi,1990, Thousands hectares,3.9
Softwood,Iasi,1991, Thousands hectares,3.9
Softwood,Iasi,1992, Thousands hectares,3.9
Softwood,Iasi,1993, Thousands hectares,3.9
Softwood,Iasi,1994, Thousands hectares,3.6
Softwood,Iasi,1995, Thousands hectares,3.4
Softwood,Iasi,1996, Thousands hectares,3.4
Softwood,Iasi,1997, Thousands hectares,3.4
Softwood,Iasi,1998, Thousands hectares,3.4
Softwood,Iasi,1999, Thousands hectares,3.2
Softwood,Iasi,2000, Thousands hectares,3.2
Softwood,Iasi,2001, Thousands hectares,3.2
Softwood,Iasi,2002, Thousands hectares,3.2
Softwood,Iasi,2003, Thousands hectares,3.2
Softwood,Iasi,2004, Thousands hectares,3.1
Softwood,Iasi,2005, Thousands hectares,3.1
Softwood,Iasi,2006, Thousands hectares,3.1
Softwood,Iasi,2007, Thousands hectares,3.0
Softwood,Iasi,2008, Thousands hectares,2.6
Softwood,Iasi,2009, Thousands hectares,3.2
Softwood,Iasi,2010, Thousands hectares,3.2
Softwood,Iasi,2011, Thousands hectares,3.1
Softwood,Iasi,2012, Thousands hectares,3.1
Softwood,Iasi,2013, Thousands hectares,2.8
Softwood,Iasi,2014, Thousands hectares,2.4
Softwood,Iasi,2015, Thousands hectares,2.2
Softwood,Iasi,2016, Thousands hectares,2.1
Softwood,Iasi,2017, Thousands hectares,2.1
Softwood,Iasi,2018, Thousands hectares,1.9
Softwood,Iasi,2019, Thousands hectares,1.8
Softwood,Neamt,1990, Thousands hectares,145.3
Softwood,Neamt,1991, Thousands hectares,144.8
Softwood,Neamt,1992, Thousands hectares,137.4
Softwood,Neamt,1993, Thousands hectares,145.5
Softwood,Neamt,1994, Thousands hectares,145.1
Softwood,Neamt,1995, Thousands hectares,144.7
Softwood,Neamt,1996, Thousands hectares,144.5
Softwood,Neamt,1997, Thousands hectares,145.1
Softwood,Neamt,1998, Thousands hectares,144.7
Softwood,Neamt,1999, Thousands hectares,144.5
Softwood,Neamt,2000, Thousands hectares,144.3
Softwood,Neamt,2001, Thousands hectares,143.9
Softwood,Neamt,2002, Thousands hectares,146.7
Softwood,Neamt,2003, Thousands hectares,145.4
Softwood,Neamt,2004, Thousands hectares,141.6
Softwood,Neamt,2005, Thousands hectares,144.3
Softwood,Neamt,2006, Thousands hectares,142.0
Softwood,Neamt,2007, Thousands hectares,141.6
Softwood,Neamt,2008, Thousands hectares,141.1
Softwood,Neamt,2009, Thousands hectares,141.5
Softwood,Neamt,2010, Thousands hectares,141.0
Softwood,Neamt,2011, Thousands hectares,139.8
Softwood,Neamt,2012, Thousands hectares,139.2
Softwood,Neamt,2013, Thousands hectares,138.9
Softwood,Neamt,2014, Thousands hectares,138.9
Softwood,Neamt,2015, Thousands hectares,140.1
Softwood,Neamt,2016, Thousands hectares,140.2
Softwood,Neamt,2017, Thousands hectares,140.1
Softwood,Neamt,2018, Thousands hectares,140.3
Softwood,Neamt,2019, Thousands hectares,140.3
Softwood,Suceava,1990, Thousands hectares,334.1
Softwood,Suceava,1991, Thousands hectares,334.0
Softwood,Suceava,1992, Thousands hectares,333.9
Softwood,Suceava,1993, Thousands hectares,333.8
Softwood,Suceava,1994, Thousands hectares,334.0
Softwood,Suceava,1995, Thousands hectares,334.0
Softwood,Suceava,1996, Thousands hectares,334.0
Softwood,Suceava,1997, Thousands hectares,333.0
Softwood,Suceava,1998, Thousands hectares,333.0
Softwood,Suceava,1999, Thousands hectares,329.8
Softwood,Suceava,2000, Thousands hectares,329.2
Softwood,Suceava,2001, Thousands hectares,329.5
Softwood,Suceava,2002, Thousands hectares,328.1
Softwood,Suceava,2003, Thousands hectares,326.2
Softwood,Suceava,2004, Thousands hectares,324.3
Softwood,Suceava,2005, Thousands hectares,325.1
Softwood,Suceava,2006, Thousands hectares,325.0
Softwood,Suceava,2007, Thousands hectares,325.7
Softwood,Suceava,2008, Thousands hectares,325.2
Softwood,Suceava,2009, Thousands hectares,325.0
Softwood,Suceava,2010, Thousands hectares,325.8
Softwood,Suceava,2011, Thousands hectares,326.3
Softwood,Suceava,2012, Thousands hectares,326.1
Softwood,Suceava,2013, Thousands hectares,325.9
Softwood,Suceava,2014, Thousands hectares,325.7
Softwood,Suceava,2015, Thousands hectares,324.4
Softwood,Suceava,2016, Thousands hectares,324.8
Softwood,Suceava,2017, Thousands hectares,325.2
Softwood,Suceava,2018, Thousands hectares,325.0
Softwood,Suceava,2019, Thousands hectares,324.5
Softwood,Vaslui,1990, Thousands hectares,0.9
Softwood,Vaslui,1991, Thousands hectares,0.9
Softwood,Vaslui,1992, Thousands hectares,0.7
Softwood,Vaslui,1993, Thousands hectares,0.6
Softwood,Vaslui,1994, Thousands hectares,0.6
Softwood,Vaslui,1995, Thousands hectares,0.6
Softwood,Vaslui,1996, Thousands hectares,0.6
Softwood,Vaslui,1997, Thousands hectares,0.6
Softwood,Vaslui,1998, Thousands hectares,0.6
Softwood,Vaslui,1999, Thousands hectares,0.6
Softwood,Vaslui,2000, Thousands hectares,0.6
Softwood,Vaslui,2001, Thousands hectares,0.6
Softwood,Vaslui,2002, Thousands hectares,0.6
Softwood,Vaslui,2003, Thousands hectares,0.6
Softwood,Vaslui,2004, Thousands hectares,0.6
Softwood,Vaslui,2005, Thousands hectares,0.6
Softwood,Vaslui,2006, Thousands hectares,0.6
Softwood,Vaslui,2007, Thousands hectares,0.6
Softwood,Vaslui,2008, Thousands hectares,0.5
Softwood,Vaslui,2009, Thousands hectares,0.6
Softwood,Vaslui,2010, Thousands hectares,0.6
Softwood,Vaslui,2011, Thousands hectares,0.5
Softwood,Vaslui,2012, Thousands hectares,0.5
Softwood,Vaslui,2013, Thousands hectares,0.4
Softwood,Vaslui,2014, Thousands hectares,0.4
Softwood,Vaslui,2015, Thousands hectares,0.4
Softwood,Vaslui,2016, Thousands hectares,0.4
Softwood,Vaslui,2017, Thousands hectares,0.4
Softwood,Vaslui,2018, Thousands hectares,0.4
Softwood,Vaslui,2019, Thousands hectares,0.4
Softwood,Regiunea SUD-EST,1990, Thousands hectares,111.3
Softwood,Regiunea SUD-EST,1991, Thousands hectares,110.9
Softwood,Regiunea SUD-EST,1992, Thousands hectares,110.1
Softwood,Regiunea SUD-EST,1993, Thousands hectares,111.4
Softwood,Regiunea SUD-EST,1994, Thousands hectares,110.5
Softwood,Regiunea SUD-EST,1995, Thousands hectares,109.5
Softwood,Regiunea SUD-EST,1996, Thousands hectares,109.5
Softwood,Regiunea SUD-EST,1997, Thousands hectares,107.7
Softwood,Regiunea SUD-EST,1998, Thousands hectares,104.6
Softwood,Regiunea SUD-EST,1999, Thousands hectares,104.2
Softwood,Regiunea SUD-EST,2000, Thousands hectares,104.0
Softwood,Regiunea SUD-EST,2001, Thousands hectares,103.2
Softwood,Regiunea SUD-EST,2002, Thousands hectares,102.9
Softwood,Regiunea SUD-EST,2003, Thousands hectares,103.6
Softwood,Regiunea SUD-EST,2004, Thousands hectares,102.2
Softwood,Regiunea SUD-EST,2005, Thousands hectares,103.5
Softwood,Regiunea SUD-EST,2006, Thousands hectares,101.4
Softwood,Regiunea SUD-EST,2007, Thousands hectares,105.9
Softwood,Regiunea SUD-EST,2008, Thousands hectares,108.6
Softwood,Regiunea SUD-EST,2009, Thousands hectares,107.1
Softwood,Regiunea SUD-EST,2010, Thousands hectares,108.8
Softwood,Regiunea SUD-EST,2011, Thousands hectares,114.3
Softwood,Regiunea SUD-EST,2012, Thousands hectares,111.0
Softwood,Regiunea SUD-EST,2013, Thousands hectares,108.9
Softwood,Regiunea SUD-EST,2014, Thousands hectares,106.9
Softwood,Regiunea SUD-EST,2015, Thousands hectares,108.7
Softwood,Regiunea SUD-EST,2016, Thousands hectares,109.1
Softwood,Regiunea SUD-EST,2017, Thousands hectares,109.2
Softwood,Regiunea SUD-EST,2018, Thousands hectares,108.6
Softwood,Regiunea SUD-EST,2019, Thousands hectares,108.7
Softwood,Braila,2019, Thousands hectares,0.1
Softwood,Buzau,1990, Thousands hectares,46.8
Softwood,Buzau,1991, Thousands hectares,46.8
Softwood,Buzau,1992, Thousands hectares,45.9
Softwood,Buzau,1993, Thousands hectares,46.3
Softwood,Buzau,1994, Thousands hectares,46.0
Softwood,Buzau,1995, Thousands hectares,45.2
Softwood,Buzau,1996, Thousands hectares,45.1
Softwood,Buzau,1997, Thousands hectares,44.1
Softwood,Buzau,1998, Thousands hectares,44.1
Softwood,Buzau,1999, Thousands hectares,43.8
Softwood,Buzau,2000, Thousands hectares,43.7
Softwood,Buzau,2001, Thousands hectares,43.3
Softwood,Buzau,2002, Thousands hectares,43.3
Softwood,Buzau,2003, Thousands hectares,43.3
Softwood,Buzau,2004, Thousands hectares,43.6
Softwood,Buzau,2005, Thousands hectares,43.6
Softwood,Buzau,2006, Thousands hectares,41.6
Softwood,Buzau,2007, Thousands hectares,45.7
Softwood,Buzau,2008, Thousands hectares,48.4
Softwood,Buzau,2009, Thousands hectares,46.7
Softwood,Buzau,2010, Thousands hectares,47.9
Softwood,Buzau,2011, Thousands hectares,53.5
Softwood,Buzau,2012, Thousands hectares,50.7
Softwood,Buzau,2013, Thousands hectares,48.0
Softwood,Buzau,2014, Thousands hectares,46.0
Softwood,Buzau,2015, Thousands hectares,48.2
Softwood,Buzau,2016, Thousands hectares,47.7
Softwood,Buzau,2017, Thousands hectares,47.3
Softwood,Buzau,2018, Thousands hectares,47.6
Softwood,Buzau,2019, Thousands hectares,48.0
Softwood,Constanta,1990, Thousands hectares,5.2
Softwood,Constanta,1991, Thousands hectares,4.6
Softwood,Constanta,1992, Thousands hectares,4.5
Softwood,Constanta,1993, Thousands hectares,4.6
Softwood,Constanta,1994, Thousands hectares,4.6
Softwood,Constanta,1995, Thousands hectares,4.6
Softwood,Constanta,1996, Thousands hectares,4.6
Softwood,Constanta,1997, Thousands hectares,4.2
Softwood,Constanta,1998, Thousands hectares,2.0
Softwood,Constanta,1999, Thousands hectares,1.9
Softwood,Constanta,2000, Thousands hectares,1.9
Softwood,Constanta,2001, Thousands hectares,1.9
Softwood,Constanta,2002, Thousands hectares,1.8
Softwood,Constanta,2003, Thousands hectares,1.8
Softwood,Constanta,2004, Thousands hectares,1.8
Softwood,Constanta,2005, Thousands hectares,1.7
Softwood,Constanta,2006, Thousands hectares,1.7
Softwood,Constanta,2007, Thousands hectares,1.7
Softwood,Constanta,2008, Thousands hectares,1.7
Softwood,Constanta,2009, Thousands hectares,1.8
Softwood,Constanta,2010, Thousands hectares,1.8
Softwood,Constanta,2011, Thousands hectares,1.8
Softwood,Constanta,2012, Thousands hectares,1.7
Softwood,Constanta,2013, Thousands hectares,1.8
Softwood,Constanta,2014, Thousands hectares,1.8
Softwood,Constanta,2015, Thousands hectares,1.7
Softwood,Constanta,2016, Thousands hectares,1.7
Softwood,Constanta,2017, Thousands hectares,1.7
Softwood,Constanta,2018, Thousands hectares,1.6
Softwood,Constanta,2019, Thousands hectares,1.5
Softwood,Galati,1990, Thousands hectares,0.2
Softwood,Galati,1991, Thousands hectares,0.2
Softwood,Galati,1992, Thousands hectares,0.2
Softwood,Galati,1993, Thousands hectares,0.2
Softwood,Galati,1994, Thousands hectares,0.2
Softwood,Galati,1995, Thousands hectares,0.2
Softwood,Galati,1996, Thousands hectares,0.2
Softwood,Galati,1997, Thousands hectares,0.2
Softwood,Galati,1998, Thousands hectares,0.2
Softwood,Galati,1999, Thousands hectares,0.2
Softwood,Galati,2000, Thousands hectares,0.2
Softwood,Galati,2001, Thousands hectares,0.2
Softwood,Galati,2002, Thousands hectares,0.2
Softwood,Galati,2003, Thousands hectares,0.2
Softwood,Galati,2004, Thousands hectares,0.2
Softwood,Galati,2005, Thousands hectares,0.2
Softwood,Galati,2006, Thousands hectares,0.2
Softwood,Galati,2007, Thousands hectares,0.2
Softwood,Galati,2008, Thousands hectares,0.2
Softwood,Galati,2009, Thousands hectares,0.2
Softwood,Galati,2010, Thousands hectares,0.2
Softwood,Galati,2011, Thousands hectares,0.2
Softwood,Galati,2012, Thousands hectares,0.2
Softwood,Galati,2013, Thousands hectares,0.2
Softwood,Galati,2014, Thousands hectares,0.2
Softwood,Galati,2015, Thousands hectares,0.2
Softwood,Galati,2016, Thousands hectares,0.2
Softwood,Galati,2017, Thousands hectares,0.1
Softwood,Galati,2018, Thousands hectares,0.1
Softwood,Galati,2019, Thousands hectares,0.1
Softwood,Tulcea,1990, Thousands hectares,1.8
Softwood,Tulcea,1991, Thousands hectares,1.8
Softwood,Tulcea,1992, Thousands hectares,1.8
Softwood,Tulcea,1993, Thousands hectares,1.6
Softwood,Tulcea,1994, Thousands hectares,1.6
Softwood,Tulcea,1995, Thousands hectares,1.6
Softwood,Tulcea,1996, Thousands hectares,1.6
Softwood,Tulcea,1997, Thousands hectares,1.1
Softwood,Tulcea,1998, Thousands hectares,1.1
Softwood,Tulcea,1999, Thousands hectares,1.1
Softwood,Tulcea,2000, Thousands hectares,1.1
Softwood,Tulcea,2001, Thousands hectares,1.1
Softwood,Tulcea,2002, Thousands hectares,1.0
Softwood,Tulcea,2003, Thousands hectares,1.0
Softwood,Tulcea,2004, Thousands hectares,1.0
Softwood,Tulcea,2005, Thousands hectares,1.0
Softwood,Tulcea,2006, Thousands hectares,1.0
Softwood,Tulcea,2007, Thousands hectares,1.0
Softwood,Tulcea,2008, Thousands hectares,1.0
Softwood,Tulcea,2009, Thousands hectares,1.0
Softwood,Tulcea,2010, Thousands hectares,1.0
Softwood,Tulcea,2011, Thousands hectares,1.0
Softwood,Tulcea,2012, Thousands hectares,1.0
Softwood,Tulcea,2013, Thousands hectares,1.0
Softwood,Tulcea,2014, Thousands hectares,0.9
Softwood,Tulcea,2015, Thousands hectares,1.0
Softwood,Tulcea,2016, Thousands hectares,0.9
Softwood,Tulcea,2017, Thousands hectares,0.9
Softwood,Tulcea,2018, Thousands hectares,0.9
Softwood,Tulcea,2019, Thousands hectares,0.9
Softwood,Vrancea,1990, Thousands hectares,57.3
Softwood,Vrancea,1991, Thousands hectares,57.5
Softwood,Vrancea,1992, Thousands hectares,57.7
Softwood,Vrancea,1993, Thousands hectares,58.7
Softwood,Vrancea,1994, Thousands hectares,58.1
Softwood,Vrancea,1995, Thousands hectares,57.9
Softwood,Vrancea,1996, Thousands hectares,58.0
Softwood,Vrancea,1997, Thousands hectares,58.1
Softwood,Vrancea,1998, Thousands hectares,57.2
Softwood,Vrancea,1999, Thousands hectares,57.2
Softwood,Vrancea,2000, Thousands hectares,57.1
Softwood,Vrancea,2001, Thousands hectares,56.7
Softwood,Vrancea,2002, Thousands hectares,56.6
Softwood,Vrancea,2003, Thousands hectares,57.3
Softwood,Vrancea,2004, Thousands hectares,55.6
Softwood,Vrancea,2005, Thousands hectares,57.0
Softwood,Vrancea,2006, Thousands hectares,56.9
Softwood,Vrancea,2007, Thousands hectares,57.3
Softwood,Vrancea,2008, Thousands hectares,57.3
Softwood,Vrancea,2009, Thousands hectares,57.4
Softwood,Vrancea,2010, Thousands hectares,57.9
Softwood,Vrancea,2011, Thousands hectares,57.8
Softwood,Vrancea,2012, Thousands hectares,57.4
Softwood,Vrancea,2013, Thousands hectares,57.9
Softwood,Vrancea,2014, Thousands hectares,58.0
Softwood,Vrancea,2015, Thousands hectares,57.6
Softwood,Vrancea,2016, Thousands hectares,58.6
Softwood,Vrancea,2017, Thousands hectares,59.2
Softwood,Vrancea,2018, Thousands hectares,58.4
Softwood,Vrancea,2019, Thousands hectares,58.1
Softwood,MACROREGIUNEA TREI,1990, Thousands hectares,129.6
Softwood,MACROREGIUNEA TREI,1991, Thousands hectares,129.9
Softwood,MACROREGIUNEA TREI,1992, Thousands hectares,129.9
Softwood,MACROREGIUNEA TREI,1993, Thousands hectares,129.4
Softwood,MACROREGIUNEA TREI,1994, Thousands hectares,128.7
Softwood,MACROREGIUNEA TREI,1995, Thousands hectares,127.5
Softwood,MACROREGIUNEA TREI,1996, Thousands hectares,128.5
Softwood,MACROREGIUNEA TREI,1997, Thousands hectares,128.6
Softwood,MACROREGIUNEA TREI,1998, Thousands hectares,128.3
Softwood,MACROREGIUNEA TREI,1999, Thousands hectares,128.2
Softwood,MACROREGIUNEA TREI,2000, Thousands hectares,127.5
Softwood,MACROREGIUNEA TREI,2001, Thousands hectares,127.5
Softwood,MACROREGIUNEA TREI,2002, Thousands hectares,127.4
Softwood,MACROREGIUNEA TREI,2003, Thousands hectares,126.1
Softwood,MACROREGIUNEA TREI,2004, Thousands hectares,132.3
Softwood,MACROREGIUNEA TREI,2005, Thousands hectares,132.3
Softwood,MACROREGIUNEA TREI,2006, Thousands hectares,132.2
Softwood,MACROREGIUNEA TREI,2007, Thousands hectares,126.2
Softwood,MACROREGIUNEA TREI,2008, Thousands hectares,125.9
Softwood,MACROREGIUNEA TREI,2009, Thousands hectares,124.1
Softwood,MACROREGIUNEA TREI,2010, Thousands hectares,124.4
Softwood,MACROREGIUNEA TREI,2011, Thousands hectares,124.3
Softwood,MACROREGIUNEA TREI,2012, Thousands hectares,124.2
Softwood,MACROREGIUNEA TREI,2013, Thousands hectares,124.2
Softwood,MACROREGIUNEA TREI,2014, Thousands hectares,124.6
Softwood,MACROREGIUNEA TREI,2015, Thousands hectares,131.4
Softwood,MACROREGIUNEA TREI,2016, Thousands hectares,132.3
Softwood,MACROREGIUNEA TREI,2017, Thousands hectares,132.2
Softwood,MACROREGIUNEA TREI,2018, Thousands hectares,132.5
Softwood,MACROREGIUNEA TREI,2019, Thousands hectares,132.2
Softwood,Regiunea SUD-MUNTENIA,1990, Thousands hectares,129.5
Softwood,Regiunea SUD-MUNTENIA,1991, Thousands hectares,129.8
Softwood,Regiunea SUD-MUNTENIA,1992, Thousands hectares,129.8
Softwood,Regiunea SUD-MUNTENIA,1993, Thousands hectares,129.3
Softwood,Regiunea SUD-MUNTENIA,1994, Thousands hectares,128.6
Softwood,Regiunea SUD-MUNTENIA,1995, Thousands hectares,127.4
Softwood,Regiunea SUD-MUNTENIA,1996, Thousands hectares,128.4
Softwood,Regiunea SUD-MUNTENIA,1997, Thousands hectares,128.5
Softwood,Regiunea SUD-MUNTENIA,1998, Thousands hectares,128.2
Softwood,Regiunea SUD-MUNTENIA,1999, Thousands hectares,128.1
Softwood,Regiunea SUD-MUNTENIA,2000, Thousands hectares,127.4
Softwood,Regiunea SUD-MUNTENIA,2001, Thousands hectares,127.4
Softwood,Regiunea SUD-MUNTENIA,2002, Thousands hectares,127.3
Softwood,Regiunea SUD-MUNTENIA,2003, Thousands hectares,126.0
Softwood,Regiunea SUD-MUNTENIA,2004, Thousands hectares,132.2
Softwood,Regiunea SUD-MUNTENIA,2005, Thousands hectares,132.2
Softwood,Regiunea SUD-MUNTENIA,2006, Thousands hectares,132.1
Softwood,Regiunea SUD-MUNTENIA,2007, Thousands hectares,126.1
Softwood,Regiunea SUD-MUNTENIA,2008, Thousands hectares,125.8
Softwood,Regiunea SUD-MUNTENIA,2009, Thousands hectares,124.0
Softwood,Regiunea SUD-MUNTENIA,2010, Thousands hectares,124.3
Softwood,Regiunea SUD-MUNTENIA,2011, Thousands hectares,124.2
Softwood,Regiunea SUD-MUNTENIA,2012, Thousands hectares,124.1
Softwood,Regiunea SUD-MUNTENIA,2013, Thousands hectares,124.1
Softwood,Regiunea SUD-MUNTENIA,2014, Thousands hectares,124.5
Softwood,Regiunea SUD-MUNTENIA,2015, Thousands hectares,131.3
Softwood,Regiunea SUD-MUNTENIA,2016, Thousands hectares,132.2
Softwood,Regiunea SUD-MUNTENIA,2017, Thousands hectares,132.1
Softwood,Regiunea SUD-MUNTENIA,2018, Thousands hectares,132.4
Softwood,Regiunea SUD-MUNTENIA,2019, Thousands hectares,132.1
Softwood,Arges,1990, Thousands hectares,79.7
Softwood,Arges,1991, Thousands hectares,79.8
Softwood,Arges,1992, Thousands hectares,79.8
Softwood,Arges,1993, Thousands hectares,79.9
Softwood,Arges,1994, Thousands hectares,79.3
Softwood,Arges,1995, Thousands hectares,79.4
Softwood,Arges,1996, Thousands hectares,79.1
Softwood,Arges,1997, Thousands hectares,79.2
Softwood,Arges,1998, Thousands hectares,79.1
Softwood,Arges,1999, Thousands hectares,79.1
Softwood,Arges,2000, Thousands hectares,78.7
Softwood,Arges,2001, Thousands hectares,78.7
Softwood,Arges,2002, Thousands hectares,78.8
Softwood,Arges,2003, Thousands hectares,78.7
Softwood,Arges,2004, Thousands hectares,84.8
Softwood,Arges,2005, Thousands hectares,84.8
Softwood,Arges,2006, Thousands hectares,84.8
Softwood,Arges,2007, Thousands hectares,78.7
Softwood,Arges,2008, Thousands hectares,78.7
Softwood,Arges,2009, Thousands hectares,76.8
Softwood,Arges,2010, Thousands hectares,77.0
Softwood,Arges,2011, Thousands hectares,77.1
Softwood,Arges,2012, Thousands hectares,76.8
Softwood,Arges,2013, Thousands hectares,76.8
Softwood,Arges,2014, Thousands hectares,76.8
Softwood,Arges,2015, Thousands hectares,83.4
Softwood,Arges,2016, Thousands hectares,84.3
Softwood,Arges,2017, Thousands hectares,84.3
Softwood,Arges,2018, Thousands hectares,84.6
Softwood,Arges,2019, Thousands hectares,84.2
Softwood,Calarasi,1990, Thousands hectares,0.1
Softwood,Calarasi,1991, Thousands hectares,0.1
Softwood,Calarasi,1992, Thousands hectares,0.1
Softwood,Calarasi,1993, Thousands hectares,0.1
Softwood,Calarasi,1994, Thousands hectares,0.1
Softwood,Calarasi,1995, Thousands hectares,0.1
Softwood,Calarasi,1996, Thousands hectares,0.1
Softwood,Calarasi,1997, Thousands hectares,0.1
Softwood,Calarasi,1998, Thousands hectares,0.1
Softwood,Calarasi,1999, Thousands hectares,0.1
Softwood,Calarasi,2000, Thousands hectares,0.1
Softwood,Calarasi,2001, Thousands hectares,0.1
Softwood,Calarasi,2002, Thousands hectares,0.1
Softwood,Calarasi,2003, Thousands hectares,0.1
Softwood,Calarasi,2004, Thousands hectares,0.1
Softwood,Calarasi,2005, Thousands hectares,0.1
Softwood,Calarasi,2006, Thousands hectares,0.1
Softwood,Calarasi,2007, Thousands hectares,0.1
Softwood,Calarasi,2008, Thousands hectares,0.1
Softwood,Calarasi,2009, Thousands hectares,0.1
Softwood,Calarasi,2010, Thousands hectares,0.1
Softwood,Calarasi,2012, Thousands hectares,0.1
Softwood,Calarasi,2013, Thousands hectares,0.1
Softwood,Calarasi,2014, Thousands hectares,0.1
Softwood,Calarasi,2015, Thousands hectares,0.1
Softwood,Calarasi,2016, Thousands hectares,0.1
Softwood,Calarasi,2017, Thousands hectares,0.1
Softwood,Calarasi,2018, Thousands hectares,0.1
Softwood,Dambovita,1990, Thousands hectares,15.3
Softwood,Dambovita,1991, Thousands hectares,15.4
Softwood,Dambovita,1992, Thousands hectares,15.4
Softwood,Dambovita,1993, Thousands hectares,15.4
Softwood,Dambovita,1994, Thousands hectares,15.4
Softwood,Dambovita,1995, Thousands hectares,14.1
Softwood,Dambovita,1996, Thousands hectares,15.4
Softwood,Dambovita,1997, Thousands hectares,15.4
Softwood,Dambovita,1998, Thousands hectares,15.2
Softwood,Dambovita,1999, Thousands hectares,15.1
Softwood,Dambovita,2000, Thousands hectares,15.0
Softwood,Dambovita,2001, Thousands hectares,15.0
Softwood,Dambovita,2002, Thousands hectares,15.0
Softwood,Dambovita,2003, Thousands hectares,14.4
Softwood,Dambovita,2004, Thousands hectares,14.5
Softwood,Dambovita,2005, Thousands hectares,14.4
Softwood,Dambovita,2006, Thousands hectares,14.5
Softwood,Dambovita,2007, Thousands hectares,14.6
Softwood,Dambovita,2008, Thousands hectares,14.4
Softwood,Dambovita,2009, Thousands hectares,14.5
Softwood,Dambovita,2010, Thousands hectares,14.5
Softwood,Dambovita,2011, Thousands hectares,14.5
Softwood,Dambovita,2012, Thousands hectares,14.5
Softwood,Dambovita,2013, Thousands hectares,14.5
Softwood,Dambovita,2014, Thousands hectares,14.4
Softwood,Dambovita,2015, Thousands hectares,14.7
Softwood,Dambovita,2016, Thousands hectares,14.7
Softwood,Dambovita,2017, Thousands hectares,14.7
Softwood,Dambovita,2018, Thousands hectares,14.7
Softwood,Dambovita,2019, Thousands hectares,14.7
Softwood,Giurgiu,1990, Thousands hectares,0.4
Softwood,Giurgiu,1991, Thousands hectares,0.4
Softwood,Giurgiu,1992, Thousands hectares,0.4
Softwood,Giurgiu,1993, Thousands hectares,0.3
